
2766	45792	122	196	421
2766	45825	122	224	447
2766	45858	131	222	448

2767	45891	125	163	420
2767	45924	127	195	424
2767	45957	131	195	433

2768	45990	138	182	417
2768	46023	147	204	424
2768	46056	143	184	431

2769	46089	142	208	445
2769	46122	136	186	437
2769	46155	113	203	469

2770	46188	120	170	438
2770	46221	127	186	424
2770	46254	137	192	429

2771	46287	144	206	411
2771	46320	144	199	419
2771	46353	156	179	388

2772	46386	163	204	405
2772	46419	170	198	414
2772	46452	172	185	395

2773	46485	159	193	394
2773	46518	158	202	427
2773	46551	148	201	423

2774	46584	142	190	430
2774	46617	131	198	442
2774	46650	130	187	434

2775	46683	121	202	448
2775	46716	121	193	437
2775	46749	127	200	427

2776	46782	118	183	428
2776	46815	110	250	443
2776	46848	120	212	441

2777	46881	125	188	447
2777	46914	119	167	436
2777	46947	123	184	431

2778	46980	134	216	436
2778	47013	142	216	426
2778	47046	143	172	408

2779	47079	143	197	430
2779	47112	147	194	426
2779	47145	143	192	427

2780	47178	141	190	428
2780	47211	138	199	428
2780	47244	138	189	438

2781	47277	139	190	438
2781	47310	140	193	424
2781	47343	144	196	425

2782	47376	149	188	429
2782	47409	148	200	421
2782	47442	152	191	412

0	20834	152	191	412
0	20867	42	11	503
0	20900	40	8	502

1	20933	39	6	502
1	20966	39	13	504
1	20999	38	10	499

2	21032	41	8	495
2	21065	48	13	498
2	21098	48	18	500

3	21131	45	18	503
3	21164	42	21	508
3	21197	39	12	507

4	21230	34	8	506
4	21263	35	8	498
4	21296	34	6	497

5	21329	35	10	495
5	21362	33	9	496
5	21395	38	8	497

6	21428	33	11	501
6	21461	33	12	499
6	21494	36	9	498

7	21527	38	14	496
7	21560	34	12	495
7	21593	32	9	502

8	21626	33	12	500
8	21659	30	14	501
8	21692	27	15	498

9	21725	26	14	500
9	21758	24	12	499
9	21791	24	15	499

10	21824	24	12	497
10	21857	19	12	496
10	21890	15	25	492

11	21923	10	45	497
11	21956	7	55	493
11	21989	5	64	495

12	22022	-8	74	492
12	22055	-18	57	497
12	22088	-14	61	493

13	22121	-13	47	502
13	22154	-8	56	510
13	22187	-6	60	518

14	22220	-5	59	517
14	22253	-4	60	514
14	22286	0	63	511

15	22319	4	73	507
15	22352	2	76	498
15	22385	2	51	512

16	22418	3	52	506
16	22451	-1	53	505
16	22484	1	56	507

17	22517	-2	54	502
17	22550	-2	44	500
17	22583	-7	57	496

18	22617	-9	51	503
18	22650	-8	50	501
18	22683	-8	49	501

19	22716	-9	42	503
19	22749	-10	23	504
19	22782	-12	16	503

20	22815	-7	50	506
20	22848	-8	43	501
20	22881	-10	34	500

21	22914	-7	43	498
21	22947	-8	30	494
21	22980	-5	26	495

22	23013	-25	-223	617
22	23046	-13	-586	529
22	23079	-44	228	-1181

23	23114	-30	1256	-1005
23	23147	-77	1157	-394
23	23180	-144	374	-537

24	23213	-40	690	-634
24	23246	-36	768	-488
24	23279	-45	261	-194

25	23312	22	57	100
25	23345	42	29	268
25	23378	-9	-379	581

26	23411	-72	-322	594
26	23444	-1	-304	550
26	23477	173	108	93

27	23510	-101	-277	-23
27	23543	-60	1388	-1173
27	23576	-59	202	-457

28	23609	-91	506	-396
28	23642	-30	640	-504
28	23675	-3	641	-329

29	23708	-26	194	6
29	23741	51	-24	242
29	23774	16	-37	399

30	23807	0	-184	588
30	23840	-4	-8	512
30	23873	1	37	506

31	23906	7	31	513
31	23939	8	19	505
31	23972	10	19	507

32	24005	1	82	506
32	24038	-1	99	503
32	24071	-3	106	490

33	24104	-3	101	499
33	24137	0	102	492
33	24170	1	95	484

34	24203	-1	96	493
34	24236	0	91	500
34	24269	-2	99	494

35	24302	1	96	490
35	24335	0	117	494
35	24368	0	101	492

36	24401	2	104	485
36	24434	-2	97	488
36	24467	-5	105	485

37	24500	-2	101	494
37	24533	-4	103	490
37	24566	-4	95	497

38	24599	-4	101	492
38	24632	-4	95	494
38	24665	-5	96	490

39	24698	-4	100	497
39	24731	-5	94	494
39	24764	-6	103	494

40	24797	-4	100	493
40	24830	-2	96	492
40	24863	-5	96	492

41	24896	-4	98	490
41	24929	-3	99	488
41	24962	-2	99	491

42	24995	-3	98	495
42	25028	-6	94	494
42	25061	-3	98	495

43	25094	-3	100	494
43	25127	-3	99	490
43	25160	-3	98	491

44	25193	-4	101	492
44	25226	-5	99	491
44	25259	-3	96	489

45	25292	-5	96	491
45	25325	-4	95	496
45	25358	-3	101	494

46	25391	-3	99	497
46	25424	-3	96	496
46	25457	-2	100	490

47	25490	-5	99	495
47	25523	-4	100	491
47	25556	-4	99	492

48	25589	-4	98	492
48	25622	-4	96	490
48	25655	-3	99	492

49	25688	-2	97	491
49	25721	-2	99	490
49	25754	-4	95	493

50	25787	-2	96	491
50	25820	-2	96	490
50	25853	-3	99	491

51	25886	-3	96	493
51	25919	-4	96	488
51	25952	-1	93	493

52	25985	-2	97	491
52	26018	-2	93	494
52	26051	-2	94	491

53	26084	-2	97	494
53	26117	-4	94	494
53	26150	-5	97	492

54	26183	-4	97	493
54	26216	-4	99	491
54	26249	-4	95	494

55	26282	-2	95	492
55	26315	-3	90	491
55	26348	6	30	549

56	26381	5	-588	382
56	26414	97	-324	-304
56	26447	-207	133	-690

57	26480	-24	1685	-767
57	26513	-124	225	-700
57	26546	-66	511	-436

58	26579	-27	519	-255
58	26612	0	462	-48
58	26645	18	272	49

59	26678	14	121	139
59	26711	25	-230	451
59	26744	-55	-365	660

60	26777	-43	-337	492
60	26810	214	265	-270
60	26843	-160	70	-252

61	26876	80	1684	-932
61	26909	-36	237	-431
61	26942	-37	422	-405

62	26975	2	541	-229
62	27008	-20	281	31
62	27041	3	277	122

63	27074	20	105	318
63	27107	27	16	485
63	27140	8	-30	528

64	27173	18	38	511
64	27206	14	67	506
64	27239	3	60	520

65	27272	11	97	525
65	27305	4	100	507
65	27338	6	106	511

66	27371	6	116	488
66	27404	3	123	484
66	27437	1	124	472

67	27470	1	114	485
67	27503	1	125	482
67	27536	-1	129	481

68	27569	3	124	483
68	27602	4	121	481
68	27635	4	120	485

69	27668	6	125	483
69	27701	6	129	482
69	27734	6	126	480

70	27767	4	127	488
70	27800	3	125	485
70	27833	5	120	486

71	27866	6	125	488
71	27899	3	117	492
71	27932	0	124	485

72	27965	5	117	490
72	27998	4	122	487
72	28031	3	120	488

73	28064	3	122	482
73	28097	3	125	485
73	28130	2	123	483

74	28163	2	119	482
74	28196	3	116	484
74	28229	3	122	488

75	28262	3	118	487
75	28295	4	119	490
75	28328	4	116	487

76	28361	4	117	488
76	28394	2	123	483
76	28427	3	121	486

77	28460	4	117	481
77	28493	5	118	488
77	28526	4	121	486

78	28559	3	119	487
78	28592	5	117	484
78	28625	3	118	483

79	28658	3	120	486
79	28691	4	120	486
79	28724	4	120	482

80	28758	4	117	488
80	28791	3	121	485
80	28824	2	121	486

81	28857	2	118	486
81	28890	2	118	485
81	28923	4	120	486

82	28956	1	119	485
82	28989	2	114	487
82	29022	14	75	512

83	29055	3	-106	662
83	29088	47	-359	-99
83	29121	-103	-13	-810

84	29154	-71	853	-1225
84	29187	-44	437	-490
84	29220	-42	416	-420

85	29253	-59	529	-455
85	29286	0	639	-277
85	29319	-24	375	-200

86	29352	7	209	110
86	29385	12	206	326
86	29418	4	137	416

87	29451	1	-64	519
87	29484	-17	-187	576
87	29517	-79	-235	592

88	29550	221	213	-127
88	29583	28	114	-18
88	29616	-49	1186	-831

89	29649	-16	365	-677
89	29682	-95	521	-332
89	29715	-7	462	-307

90	29748	-24	405	-36
90	29781	-3	394	89
90	29814	8	122	227

91	29847	11	0	352
91	29880	-2	0	552
91	29913	-2	33	510

92	29946	-7	66	481
92	29979	-14	117	509
92	30012	-6	94	502

93	30046	-3	83	503
93	30079	-4	93	490
93	30112	-9	114	494

94	30145	-9	109	497
